Company_ID,Sector,Credit_Rating,Score_Financial_Health,Score_Credit_Behaviour,Score_External_Risk,Score_Text_Signals,Final_Score,PD_Meta,Decision,Loan_Limit_Crore,Interest_Rate_Pct,Actual_Default
CMP_000000,Steel_Primary,BBB,39.05,29.35,19.1,9.83,97.33,0.0,APPROVE,22.69,10.0,0
CMP_000001,Chemical,BBB,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,35.28,10.0,0
CMP_000002,Real_Estate_Commercial,B,38.22,29.3,18.81,7.97,94.3,0.0,APPROVE,124.89,10.0,0
CMP_000003,NBFC,BBB,39.05,29.35,19.25,9.85,97.5,0.0,APPROVE,57.41,10.0,0
CMP_000004,Manufacturing_General,B,37.22,22.07,19.15,7.08,85.52,0.0007,APPROVE,10.39,10.0,0
CMP_000005,Manufacturing_General,AA,39.05,29.35,19.16,9.85,97.41,0.0,APPROVE,9.28,10.0,0
CMP_000006,Manufacturing_General,BB,39.04,29.33,19.19,9.86,97.42,0.0,APPROVE,36.3,10.0,0
CMP_000007,FMCG_Distribution,B,16.12,13.37,14.24,6.89,50.62,1.0,REJECT,0.0,,1
CMP_000008,NBFC,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,64.21,10.0,0
CMP_000009,Real_Estate_Residential,BBB,39.05,29.34,19.24,9.86,97.49,0.0,APPROVE,39.54,10.0,0
CMP_000010,Manufacturing_General,A,39.05,29.31,19.25,9.86,97.47,0.0,APPROVE,43.62,10.0,0
CMP_000011,Agri_Food,BB,39.01,29.32,17.69,9.86,95.88,0.0,APPROVE,21.71,10.0,0
CMP_000012,Hospitals_Healthcare,BBB,39.04,29.35,19.25,9.86,97.5,0.0,APPROVE,153.92,10.0,0
CMP_000013,Textiles_Cotton,BB,39.05,29.32,19.25,9.74,97.36,0.0,APPROVE,350.0,10.0,0
CMP_000014,Textiles_Cotton,A,39.05,29.34,19.24,9.85,97.48,0.0,APPROVE,30.58,10.0,0
CMP_000015,Textiles_Cotton,A,39.05,29.35,19.22,9.85,97.47,0.0,APPROVE,50.69,10.0,0
CMP_000016,Steel_Secondary,AA,39.05,29.35,19.24,9.84,97.48,0.0,APPROVE,41.31,10.0,0
CMP_000017,Pharma,BBB,39.05,29.35,19.24,9.86,97.5,0.0,APPROVE,31.05,10.0,0
CMP_000018,Cement,BBB,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,19.64,10.0,0
CMP_000019,Steel_Secondary,B,38.28,29.23,17.88,7.95,93.34,0.0,APPROVE,16.04,10.0,0
CMP_000020,NBFC,BB,39.05,29.33,19.25,9.76,97.39,0.0,APPROVE,15.41,10.0,0
CMP_000021,Manufacturing_General,BBB,39.05,29.34,18.91,9.85,97.15,0.0,APPROVE,52.85,10.0,0
CMP_000022,Steel_Secondary,NR,39.05,29.34,18.86,9.86,97.11,0.0,APPROVE,25.22,10.0,0
CMP_000023,Steel_Primary,BB,39.03,29.34,19.25,7.74,95.36,0.0,APPROVE,7.0,10.0,0
CMP_000024,IT_Services,NR,39.05,29.35,18.28,9.86,96.54,0.0,APPROVE,54.56,10.0,0
CMP_000025,Infrastructure_Roads,BBB,39.05,29.35,19.22,9.86,97.48,0.0,APPROVE,37.06,10.0,0
CMP_000026,Textiles_Cotton,A,39.05,29.35,19.24,9.85,97.49,0.0,APPROVE,112.24,10.0,0
CMP_000027,IT_Services,AA,39.05,29.35,19.23,9.86,97.49,0.0,APPROVE,51.51,10.0,0
CMP_000028,NBFC,BB,39.04,29.35,19.25,9.72,97.36,0.0,APPROVE,11.71,10.0,0
CMP_000029,Manufacturing_General,A,39.05,29.35,19.25,9.86,97.51,0.0,APPROVE,7.0,10.0,0
CMP_000030,NBFC,BBB,39.05,29.35,19.21,9.86,97.47,0.0,APPROVE,21.49,10.0,0
CMP_000031,Manufacturing_General,BBB,39.05,29.35,18.89,9.86,97.15,0.0,APPROVE,23.18,10.0,0
