Company_ID,Sector,Revenue_Crore,Credit_Rating,Revenue_Growth_YoY,EBITDA_Margin,Net_Profit_Margin,Debt_to_Equity,Interest_Coverage_Ratio,Current_Ratio,DSCR,Cash_Flow_Stability_Index,Default_Flag
CMP_000000,Steel_Primary,32.41,BBB,0.1396,0.1337,0.0502,3.57,5.23,2.26,1.3,0.51,0
CMP_000001,Chemical,50.4,BBB,0.1031,0.1081,0.0314,1.76,5.31,1.56,1.52,0.43,0
CMP_000002,Real_Estate_Commercial,178.42,B,0.0359,0.1995,0.0565,3.57,4.33,0.94,1.04,0.28,0
CMP_000003,NBFC,82.02,BBB,0.0506,0.2038,0.1193,9.09,4.5,2.0,1.36,0.49,0
CMP_000004,Manufacturing_General,14.84,B,0.0264,0.034,-0.0154,2.34,3.5,1.13,1.24,0.32,0
CMP_000005,Manufacturing_General,13.26,AA,0.1559,0.0873,0.0323,3.46,5.47,1.24,1.42,0.49,0
CMP_000006,Manufacturing_General,51.86,BB,0.0861,0.0471,-0.0117,0.69,3.4,2.0,0.58,0.45,0
CMP_000007,FMCG_Distribution,20.69,B,0.0451,-0.025,-0.0822,0.8,2.92,1.43,1.64,0.3,1
CMP_000008,NBFC,91.73,A,0.1151,0.198,0.1023,3.03,5.94,1.26,1.37,0.64,0
CMP_000009,Real_Estate_Residential,56.48,BBB,0.0871,0.1039,-0.0008,4.05,2.94,1.94,0.66,0.24,0
CMP_000010,Manufacturing_General,62.32,A,0.0962,0.0915,-0.0008,3.84,5.16,1.41,1.57,0.57,0
CMP_000011,Agri_Food,31.02,BB,0.0873,0.0295,-0.0476,1.63,4.22,1.07,0.23,0.12,0
CMP_000012,Hospitals_Healthcare,219.89,BBB,0.092,0.2218,0.0909,2.77,3.63,1.36,2.04,0.66,0
CMP_000013,Textiles_Cotton,500.0,BB,0.0825,0.0741,-0.0119,8.98,3.42,1.93,1.69,0.27,0
CMP_000014,Textiles_Cotton,43.69,A,0.0901,0.0921,0.0379,4.67,4.56,2.31,1.52,0.39,0
CMP_000015,Textiles_Cotton,72.42,A,0.0718,0.123,0.0098,1.6,4.97,1.57,0.81,0.4,0
CMP_000016,Steel_Secondary,59.02,AA,0.0692,0.0041,-0.0805,3.15,5.31,2.29,0.5,0.49,0
CMP_000017,Pharma,44.36,BBB,0.0461,0.1986,0.0922,1.45,4.54,0.99,2.1,0.57,0
CMP_000018,Cement,28.06,BBB,0.0099,0.1328,-0.0022,1.01,4.75,1.9,1.42,0.58,0
CMP_000019,Steel_Secondary,22.92,B,-0.0048,-0.0249,-0.1213,3.98,4.07,1.6,0.53,0.07,0
CMP_000020,NBFC,22.01,BB,0.0052,0.1247,0.0296,4.34,4.31,1.75,1.29,0.36,0
CMP_000021,Manufacturing_General,75.5,BBB,0.0427,0.0724,-0.0644,1.93,5.55,1.55,0.98,0.59,0
CMP_000022,Steel_Secondary,36.03,NR,0.1326,0.0313,-0.0368,1.08,5.34,1.76,1.28,0.36,0
CMP_000023,Steel_Primary,10.0,BB,0.0367,0.1024,-0.0459,0.87,3.84,1.13,1.15,0.18,0
CMP_000024,IT_Services,77.94,NR,0.0385,0.1823,0.0846,0.74,4.73,1.5,1.94,0.61,0
CMP_000025,Infrastructure_Roads,52.95,BBB,0.0773,0.2805,0.1676,3.65,4.75,1.52,1.75,0.61,0
CMP_000026,Textiles_Cotton,160.35,A,0.15,0.0736,-0.037,1.04,5.04,1.7,1.04,0.36,0
CMP_000027,IT_Services,73.59,AA,0.0364,0.2072,0.1213,0.84,4.29,2.11,1.84,0.78,0
CMP_000028,NBFC,16.73,BB,0.0409,0.1829,0.0958,5.05,4.12,1.46,0.88,0.31,0
CMP_000029,Manufacturing_General,10.0,A,0.0852,0.1174,-0.0082,2.03,3.33,2.27,0.97,0.56,0
CMP_000030,NBFC,30.7,BBB,0.1118,0.2241,0.1282,6.34,5.27,1.63,1.42,0.46,0
CMP_000031,Manufacturing_General,33.11,BBB,0.1157,0.0853,-0.0299,3.58,4.58,2.13,1.53,0.45,0
CMP_000032,Manufacturing_General,116.11,BBB,0.09,0.0952,-0.0025,2.3,4.4,1.95,1.29,0.43,0
CMP_000033,Chemical,54.21,BBB,0.1112,0.1143,-0.0151,1.66,3.96,1.49,0.79,0.38,0
CMP_000034,Agri_Food,135.23,A,0.0901,0.105,0.0061,1.9,5.35,1.78,0.1,0.4,0
CMP_000035,Hospitals_Healthcare,18.92,BBB,0.058,0.1424,0.0431,5.73,5.84,1.31,1.22,0.69,0
CMP_000036,Steel_Secondary,118.18,BB,0.1147,-0.0063,-0.0614,4.06,4.74,1.62,0.91,0.24,0
CMP_000037,Manufacturing_General,97.2,NR,0.0455,0.0318,-0.0692,2.53,4.92,0.88,0.12,0.32,1
CMP_000038,Real_Estate_Residential,10.86,BB,0.0121,0.2362,0.097,3.27,4.42,1.69,1.9,0.09,0
CMP_000039,IT_Services,157.29,D,0.0168,0.0967,0.0136,0.98,2.28,0.87,1.55,0.2,1
CMP_000040,Manufacturing_General,58.84,BB,0.0575,0.0853,0.0202,0.98,4.79,1.66,1.46,0.46,0
CMP_000041,IT_Services,74.71,BBB,0.025,0.1924,0.0866,1.69,4.77,0.94,1.85,0.43,0
CMP_000042,Manufacturing_General,27.33,A,0.1249,0.1464,0.0409,1.87,4.34,1.72,1.75,0.57,0
CMP_000043,FMCG_Distribution,151.44,BB,0.0453,0.0221,-0.0853,0.7,3.65,1.28,1.03,0.32,0
CMP_000044,Textiles_Cotton,21.14,BB,0.0647,0.0811,0.0051,2.43,3.64,1.65,0.83,0.23,0
CMP_000045,Real_Estate_Residential,106.24,BBB,0.1021,0.103,0.016,5.44,4.72,1.8,1.71,0.34,0
CMP_000046,Steel_Secondary,105.27,BBB,0.032,-0.0044,-0.1066,1.91,4.11,1.82,1.33,0.16,0
CMP_000047,Pharma,25.04,BBB,0.0806,0.1681,0.0292,0.92,4.59,1.68,1.48,0.59,0
CMP_000048,Pharma,266.85,BBB,0.1181,0.1323,-0.0176,1.56,4.7,1.89,2.29,0.48,0
CMP_000049,Textiles_Cotton,65.71,BBB,0.0317,0.0454,-0.0783,3.17,5.51,1.72,1.05,0.26,0
CMP_000050,Agri_Food,92.12,A,0.1071,0.0488,-0.0145,1.27,5.42,1.41,1.09,0.23,0
CMP_000051,Infrastructure_Roads,16.09,B,-0.005,0.2313,0.0538,3.44,2.89,1.16,1.04,0.43,0
CMP_000052,Chemical,297.13,A,0.1242,0.1201,0.0389,2.04,6.52,1.72,1.47,0.45,0
CMP_000053,FMCG_Distribution,20.5,AA,0.136,0.084,-0.0343,0.51,4.58,0.94,1.14,0.75,0
CMP_000054,NBFC,123.95,BBB,0.0477,0.1644,0.0317,3.63,3.99,1.23,1.23,0.43,0
CMP_000055,Chemical,24.64,BB,0.1257,0.0763,-0.0419,2.21,4.16,1.84,1.78,0.18,0
CMP_000056,Manufacturing_General,33.28,BBB,0.1145,0.0812,-0.0287,2.48,6.82,1.53,1.66,0.58,0
CMP_000057,Textiles_Cotton,102.62,A,0.0995,0.109,-0.0226,1.72,4.85,1.58,1.34,0.35,0
CMP_000058,Manufacturing_General,124.22,BBB,0.0955,0.1699,0.0617,2.28,3.97,0.98,1.47,0.43,0
CMP_000059,Steel_Secondary,19.75,BBB,0.1116,0.0139,-0.0595,4.32,3.25,1.25,0.68,0.3,0
CMP_000060,Steel_Primary,130.63,NR,0.0227,0.1221,0.0417,1.31,2.95,1.66,0.93,0.37,0
CMP_000061,Textiles_Cotton,125.96,D,0.0089,0.0043,-0.134,12.0,2.79,0.78,0.52,0.0,1
CMP_000062,Hospitals_Healthcare,25.78,BBB,0.09,0.1988,0.0835,3.36,5.05,1.34,1.46,0.65,0
CMP_000063,Steel_Primary,196.16,BBB,0.0496,0.13,-0.0029,1.82,3.25,1.92,0.79,0.37,0
CMP_000064,Steel_Secondary,17.02,BB,0.0745,0.0117,-0.0565,2.35,4.33,1.26,0.76,0.34,0
CMP_000065,Pharma,33.12,AA,0.1411,0.1511,0.0566,0.83,4.0,1.45,1.91,0.67,0
CMP_000066,Manufacturing_General,80.09,BBB,0.0469,0.1261,0.0048,4.14,3.61,1.55,1.46,0.53,0
CMP_000067,Hospitals_Healthcare,27.58,BBB,0.0701,0.1978,0.0677,1.87,5.06,1.39,1.28,0.66,0
CMP_000068,Manufacturing_General,67.43,D,-0.0256,0.0071,-0.1293,1.38,2.33,0.74,0.7,0.25,1
CMP_000069,Agri_Food,66.21,AAA,0.0201,0.146,0.0454,0.62,6.09,1.8,1.5,0.37,0
CMP_000070,Infrastructure_Roads,47.01,BBB,0.0916,0.2979,0.1251,3.53,3.79,1.32,0.98,0.73,0
CMP_000071,Textiles_Cotton,106.26,BB,0.0465,0.0564,-0.0599,2.84,4.82,0.91,0.58,0.01,0
CMP_000072,Manufacturing_General,45.48,BBB,0.0758,0.104,-0.0173,1.05,6.41,1.8,1.31,0.56,0
CMP_000073,Hospitals_Healthcare,65.71,AA,0.0526,0.2116,0.0579,0.67,4.45,2.06,1.43,0.79,0
CMP_000074,Real_Estate_Residential,136.62,NR,0.0466,0.1428,0.0031,1.09,6.07,1.37,0.74,0.22,0
CMP_000075,Real_Estate_Commercial,102.78,BBB,0.1119,0.1963,0.0929,1.67,4.46,1.75,2.41,0.53,0
CMP_000076,Infrastructure_Roads,102.39,BB,0.0589,0.3246,0.1563,2.96,3.72,1.39,0.9,0.6,0
CMP_000077,Manufacturing_General,21.77,A,0.0796,0.0513,-0.044,2.27,4.47,1.15,1.93,0.51,0
CMP_000078,Steel_Primary,83.08,BBB,0.0778,0.0859,-0.0502,1.47,4.16,1.85,1.51,0.49,0
CMP_000079,Manufacturing_General,27.04,BBB,0.0308,0.1611,0.0451,2.69,5.88,1.68,0.88,0.65,0
CMP_000080,FMCG_Distribution,19.59,AA,0.1187,0.0473,-0.0402,1.13,6.15,1.88,1.78,0.55,0
CMP_000081,NBFC,51.55,AA,0.0418,0.1516,0.0352,4.35,6.1,1.79,1.34,0.62,0
CMP_000082,Steel_Secondary,26.48,B,-0.0021,-0.047,-0.106,5.23,2.6,1.2,1.12,0.06,0
CMP_000083,Manufacturing_General,102.77,A,0.0306,0.1493,0.0465,0.84,4.72,1.67,1.57,0.67,0
CMP_000084,Steel_Secondary,104.76,A,0.0738,-0.0039,-0.0803,1.58,3.53,1.75,1.18,0.41,0
CMP_000085,Steel_Secondary,11.92,BBB,0.0609,0.0059,-0.0487,8.33,5.43,2.0,0.95,0.32,0
CMP_000086,Real_Estate_Commercial,28.14,BB,0.0504,0.1568,0.0455,1.15,3.62,1.53,1.85,0.5,0
CMP_000087,NBFC,16.98,AA,0.0552,0.2015,0.0879,3.16,5.44,2.14,1.19,0.69,0
CMP_000088,FMCG_Distribution,37.71,BBB,0.1083,0.0329,-0.0764,1.31,4.05,2.0,0.82,0.53,0
CMP_000089,IT_Services,78.58,A,0.0825,0.1779,0.0575,0.31,3.32,1.24,1.16,0.56,0
CMP_000090,Manufacturing_General,44.98,AA,0.0782,0.1679,0.0363,1.04,5.59,2.11,0.92,0.72,0
CMP_000091,Real_Estate_Residential,34.06,AA,0.071,0.1202,0.0399,7.22,5.77,1.98,1.57,0.45,0
CMP_000092,Infrastructure_Roads,154.49,B,0.0004,0.2541,0.1303,4.85,3.45,1.27,0.87,0.42,1
CMP_000093,Pharma,10.0,A,0.0651,0.1581,0.031,0.92,3.0,1.95,1.29,0.64,0
CMP_000094,Infrastructure_Roads,146.86,AA,0.0368,0.3022,0.122,2.83,5.67,1.75,1.48,0.8,0
CMP_000095,IT_Services,35.32,BBB,-0.0116,0.1753,0.0493,0.66,3.58,1.64,2.18,0.52,0
CMP_000096,Pharma,51.29,B,0.0671,0.0823,0.0083,3.7,3.98,0.93,1.45,0.34,0
CMP_000097,Cement,35.81,A,0.0982,0.1409,0.0187,0.79,4.51,1.37,1.63,0.65,0
CMP_000098,Manufacturing_General,187.6,BBB,0.1255,0.0789,-0.0365,1.43,3.94,1.65,0.95,0.51,0
CMP_000099,Manufacturing_General,20.39,AA,0.0697,0.0465,-0.0237,0.74,5.19,1.7,1.23,0.66,0
CMP_000100,Manufacturing_General,55.11,BBB,0.0557,0.1334,0.0522,1.48,3.85,1.6,1.23,0.57,0
CMP_000101,NBFC,83.26,BBB,0.0567,0.2497,0.1208,3.84,4.44,1.41,0.84,0.6,0
CMP_000102,Steel_Secondary,15.05,BBB,0.0583,0.0167,-0.0259,4.43,4.93,1.72,0.98,0.44,0
