Company_ID,GST_Filing_Delay_Days,GST_vs_Bank_Variance_Pct,GSTR_2A_3B_ITC_Mismatch_Pct,Historical_Defaults,Rating_Downgrades_Count,Payment_Delays_Days,Tax_Compliance_Score,Round_Trip_Transaction_Count,Cash_Deposit_Ratio,GST_Scrutiny_Notice_Flag,Default_Flag
CMP_000000,6,0.0305,0.0486,0,1,10,0.98,0,0.216,0,0
CMP_000001,139,0.0928,0.0471,0,0,82,0.59,0,0.174,1,0
CMP_000002,0,0.1163,0.0481,0,1,57,0.84,1,0.09,0,0
CMP_000003,68,0.0602,0.0481,0,0,1,0.8,0,0.492,1,0
CMP_000004,3,0.2242,0.1136,0,1,11,0.71,1,0.236,0,0
CMP_000005,4,0.0811,0.0597,0,0,8,0.95,0,0.147,0,0
CMP_000006,0,0.1934,0.0319,0,0,92,0.85,0,0.2,0,0
CMP_000007,34,0.0643,0.0461,0,1,53,0.68,0,0.456,0,1
CMP_000008,3,0.0139,0.0421,0,0,7,0.97,0,0.53,0,0
CMP_000009,1,0.0162,0.0251,0,0,12,0.85,0,0.349,0,0
CMP_000010,18,0.0914,0.0648,0,1,22,0.84,0,0.224,0,0
CMP_000011,0,0.0623,0.0635,1,0,6,0.8,0,0.424,0,0
CMP_000012,0,0.0362,0.0349,0,0,21,1.0,0,0.381,0,0
CMP_000013,1,0.0609,0.0376,0,0,111,0.85,0,0.244,1,0
CMP_000014,0,0.1177,0.0196,0,0,25,0.84,0,0.304,0,0
CMP_000015,4,0.0287,0.0682,0,0,79,0.91,0,0.215,0,0
CMP_000016,5,0.1165,0.0404,0,0,45,0.9,0,0.228,0,0
CMP_000017,0,0.0489,0.059,0,0,20,0.92,0,0.157,0,0
CMP_000018,1,0.0303,0.0431,0,0,88,0.89,0,0.233,0,0
CMP_000019,0,0.1679,0.0573,0,1,46,0.71,0,0.222,0,0
CMP_000020,16,0.1176,0.0352,0,0,71,0.84,0,0.391,0,0
CMP_000021,123,0.1064,0.0608,0,0,71,0.59,0,0.191,0,0
CMP_000022,1,0.0413,0.0315,0,0,144,0.9,0,0.282,0,0
CMP_000023,1,0.0929,0.0044,0,0,17,0.89,0,0.246,0,0
CMP_000024,3,0.0927,0.0498,0,0,10,0.93,0,0.021,0,0
CMP_000025,2,0.0997,0.0362,0,0,25,0.87,0,0.125,0,0
CMP_000026,0,0.06,0.0191,0,0,102,0.9,0,0.415,0,0
CMP_000027,2,0.0205,0.0594,0,0,13,0.96,0,0.042,0,0
CMP_000028,0,0.0339,0.0999,0,0,16,0.95,0,0.515,0,0
CMP_000029,12,0.0584,0.0541,0,0,1,0.89,0,0.263,0,0
CMP_000030,10,0.0125,0.0639,0,0,52,0.85,0,0.46,0,0
CMP_000031,0,0.0207,0.0446,0,0,54,0.91,0,0.163,0,0
CMP_000032,1,0.0935,0.0829,0,0,73,0.89,0,0.182,0,0
CMP_000033,0,0.001,0.0596,0,0,43,0.92,0,0.104,0,0
CMP_000034,0,0.0215,0.0233,0,0,113,0.96,0,0.536,0,0
CMP_000035,0,0.0445,0.0579,0,0,3,0.89,0,0.367,0,0
CMP_000036,0,0.038,0.053,0,0,49,0.88,0,0.332,0,0
CMP_000037,77,0.2101,0.0281,0,0,39,0.55,0,0.335,0,1
CMP_000038,18,0.1331,0.012,0,1,123,0.72,0,0.282,0,0
CMP_000039,84,0.2563,0.0528,1,2,167,0.48,3,0.041,1,1
CMP_000040,1,0.138,0.0082,0,0,162,0.86,0,0.229,0,0
CMP_000041,0,0.0423,0.0435,0,0,18,0.89,0,0.045,0,0
CMP_000042,2,0.001,0.0276,0,0,15,0.99,0,0.301,0,0
CMP_000043,3,0.138,0.0225,0,1,10,0.81,0,0.365,0,0
CMP_000044,2,0.143,0.0082,0,1,95,0.82,0,0.258,0,0
CMP_000045,0,0.0366,0.1003,0,0,69,0.93,0,0.323,0,0
CMP_000046,0,0.0165,0.0338,0,1,118,0.91,0,0.282,0,0
CMP_000047,1,0.1119,0.0249,0,0,202,0.83,0,0.139,0,0
CMP_000048,3,0.001,0.0557,0,0,36,0.86,0,0.076,0,0
CMP_000049,1,0.0853,0.0539,0,0,14,0.94,0,0.227,0,0
CMP_000050,6,0.0993,0.0017,0,0,44,0.94,0,0.371,1,0
CMP_000051,2,0.2552,0.0221,1,1,27,0.69,0,0.154,0,0
CMP_000052,3,0.0852,0.0291,0,0,20,0.85,0,0.106,0,0
CMP_000053,16,0.0887,0.017,0,0,36,0.96,0,0.361,0,0
CMP_000054,2,0.0071,0.0384,0,0,10,0.92,0,0.432,0,0
CMP_000055,1,0.2083,0.067,0,3,60,0.75,0,0.129,0,0
CMP_000056,3,0.0632,0.0243,0,0,6,0.9,0,0.297,0,0
CMP_000057,0,0.0366,0.0037,0,0,128,0.92,0,0.241,0,0
CMP_000058,8,0.0579,0.038,0,0,3,0.85,0,0.304,0,0
CMP_000059,0,0.0276,0.0208,0,0,153,0.92,0,0.321,0,0
CMP_000060,36,0.0678,0.0699,0,0,353,0.8,0,0.237,0,0
CMP_000061,0,0.2288,0.2587,0,1,25,0.63,0,0.327,1,1
CMP_000062,1,0.0246,0.005,0,0,3,0.93,0,0.241,0,0
CMP_000063,0,0.0086,0.1038,0,0,1,0.92,0,0.119,0,0
CMP_000064,2,0.1335,0.0096,1,0,10,0.8,0,0.248,0,0
CMP_000065,1,0.0708,0.0409,0,0,78,0.99,0,0.044,0,0
CMP_000066,25,0.0499,0.0214,0,0,57,0.81,0,0.3,0,0
CMP_000067,0,0.0382,0.0074,0,0,3,0.89,0,0.338,0,0
CMP_000068,165,0.2877,0.0616,1,6,227,0.33,0,0.337,0,1
CMP_000069,0,0.0923,0.0274,0,0,49,0.97,0,0.355,0,0
CMP_000070,12,0.0084,0.0512,0,0,121,0.84,0,0.085,0,0
CMP_000071,0,0.0398,0.0462,0,0,88,0.87,0,0.161,0,0
CMP_000072,1,0.002,0.0158,0,1,18,0.95,0,0.349,0,0
CMP_000073,3,0.0156,0.0377,0,0,2,0.95,0,0.395,0,0
CMP_000074,3,0.0592,0.055,1,0,0,0.88,0,0.333,0,0
CMP_000075,0,0.0956,0.0362,0,0,39,0.81,0,0.196,0,0
CMP_000076,0,0.018,0.0805,0,0,32,0.87,0,0.149,0,0
CMP_000077,2,0.04,0.0373,0,0,32,0.96,0,0.244,1,0
CMP_000078,158,0.0767,0.0076,0,0,138,0.53,0,0.114,1,0
CMP_000079,3,0.0505,0.008,0,0,86,0.88,0,0.333,0,0
CMP_000080,2,0.0849,0.0287,0,0,13,0.84,0,0.575,0,0
CMP_000081,0,0.0268,0.0043,0,0,12,1.0,0,0.631,0,0
CMP_000082,0,0.0904,0.0086,0,1,25,0.78,0,0.227,0,0
CMP_000083,158,0.0344,0.0543,0,0,113,0.51,0,0.314,1,0
CMP_000084,2,0.0721,0.0335,0,0,125,0.94,0,0.3,1,0
CMP_000085,86,0.1592,0.046,0,0,154,0.75,0,0.321,1,0
CMP_000086,68,0.1195,0.0096,0,1,13,0.69,0,0.15,1,0
CMP_000087,3,0.0405,0.0382,0,0,20,0.88,1,0.663,0,0
CMP_000088,0,0.0115,0.0859,0,0,18,0.89,0,0.34,0,0
CMP_000089,20,0.1196,0.0023,0,0,14,0.9,0,0.05,0,0
CMP_000090,0,0.0345,0.0957,0,0,3,0.96,0,0.312,0,0
CMP_000091,0,0.0253,0.0804,0,1,59,0.91,0,0.379,0,0
CMP_000092,1,0.2632,0.2812,0,0,22,0.82,0,0.094,0,1
CMP_000093,3,0.1229,0.0708,0,0,16,0.87,0,0.162,0,0
CMP_000094,171,0.0275,0.0456,0,0,29,0.58,0,0.143,0,0
CMP_000095,0,0.1185,0.0683,0,0,123,0.84,0,0.067,0,0
CMP_000096,14,0.031,0.2353,0,0,75,0.83,0,0.116,0,0
CMP_000097,3,0.0892,0.0641,0,0,35,0.92,0,0.242,0,0
CMP_000098,9,0.0385,0.0176,0,0,4,0.79,0,0.194,0,0
CMP_000099,0,0.0865,0.0224,0,0,35,0.85,0,0.169,1,0
CMP_000100,0,0.0754,0.0001,0,0,12,0.88,0,0.262,0,0
CMP_000101,1,0.0564,0.0267,0,0,40,0.92,0,0.601,0,0
CMP_000102,60,0.032,0.0872,0,0,22,0.76,0,0.329,1,0
CMP_000103,0,0.0525,0.0174,0,1,3,0.92,0,0.125,0,0
CMP_000104,10,0.0036,0.0667,0,0,83,0.94,0,0.529,0,0
CMP_000105,0,0.059,0.0346,0,0,39,0.9,0,0.242,0,0
CMP_000106,1,0.0721,0.0432,0,0,13,0.9,0,0.266,0,0
CMP_000107,35,0.0533,0.0127,0,0,15,0.84,0,0.139,1,0
CMP_000108,2,0.1222,0.0674,0,1,64,0.81,0,0.357,0,0
CMP_000109,0,0.0836,0.0241,0,0,61,0.81,0,0.163,0,0
CMP_000110,164,0.1104,0.0437,0,0,43,0.52,0,0.306,0,0
CMP_000111,2,0.0542,0.0507,0,0,43,0.81,0,0.212,0,0
CMP_000112,0,0.0282,0.0591,0,0,6,0.9,0,0.166,0,0
CMP_000113,2,0.2439,0.1079,0,0,7,0.87,1,0.386,0,0
CMP_000114,1,0.0535,0.0242,0,0,8,0.92,0,0.632,0,0
CMP_000115,2,0.1491,0.086,0,0,40,0.81,0,0.602,0,0
CMP_000116,1,0.0489,0.0788,0,0,21,0.91,0,0.472,0,0
CMP_000117,10,0.0526,0.0522,0,0,47,0.83,0,0.293,0,0
CMP_000118,2,0.1281,0.0256,0,0,10,0.78,1,0.603,0,0
CMP_000119,1,0.0404,0.0316,0,0,131,0.9,0,0.113,0,0
CMP_000120,1,0.0737,0.0168,0,1,33,0.92,0,0.35,0,0
CMP_000121,20,0.2227,0.1942,1,2,9,0.73,6,0.425,0,0
CMP_000122,20,0.0093,0.0438,0,0,20,0.92,0,0.28,0,0
CMP_000123,0,0.0579,0.0306,0,0,152,0.92,0,0.082,0,0
CMP_000124,6,0.1871,0.0248,0,0,260,0.8,0,0.206,0,0
CMP_000125,2,0.081,0.0399,0,0,3,0.82,0,0.249,0,0
CMP_000126,0,0.0814,0.0121,0,0,68,0.87,0,0.517,0,0
CMP_000127,0,0.0769,0.0096,0,0,37,0.94,0,0.406,0,0
CMP_000128,3,0.1124,0.0035,0,0,7,0.9,0,0.171,0,0
CMP_000129,3,0.2318,0.0073,0,1,103,0.77,0,0.058,1,0
CMP_000130,2,0.0732,0.0517,0,1,41,0.84,0,0.208,0,0
CMP_000131,139,0.0452,0.0183,0,1,7,0.64,0,0.221,0,0
CMP_000132,3,0.0147,0.0395,0,0,66,0.95,0,0.29,0,0
CMP_000133,3,0.0891,0.0119,0,0,65,0.98,0,0.286,0,0
CMP_000134,20,0.1879,0.0212,0,1,0,0.88,0,0.237,0,0
CMP_000135,0,0.1046,0.0417,0,0,19,0.85,0,0.233,0,0
CMP_000136,10,0.0641,0.0043,0,0,11,0.87,0,0.099,0,0
CMP_000137,1,0.0089,0.0018,0,0,18,0.97,0,0.432,0,0
CMP_000138,59,0.0841,0.0585,0,0,12,0.71,0,0.267,0,0
CMP_000139,0,0.1743,0.0506,0,0,143,0.77,0,0.699,0,1
CMP_000140,134,0.0608,0.0246,0,0,69,0.66,0,0.386,0,0
CMP_000141,2,0.034,0.0168,0,0,1,0.94,0,0.184,0,0
CMP_000142,2,0.1,0.0222,0,0,46,0.96,0,0.028,0,0
CMP_000143,72,0.1341,0.1152,0,0,217,0.7,0,0.247,1,0
CMP_000144,0,0.0641,0.047,0,1,41,0.89,0,0.236,0,0
CMP_000145,0,0.2809,0.0935,0,0,12,0.66,1,0.6,1,0
CMP_000146,0,0.2148,0.0527,1,1,101,0.85,0,0.616,1,0
CMP_000147,40,0.3962,0.0935,1,2,67,0.61,0,0.067,1,0
CMP_000148,0,0.0431,0.0683,0,0,25,0.88,0,0.308,0,0
CMP_000149,0,0.0619,0.0582,0,0,27,0.89,0,0.289,1,0
CMP_000150,94,0.1066,0.056,0,0,12,0.69,0,0.541,0,0
CMP_000151,2,0.003,0.0373,0,0,5,0.98,0,0.337,0,0
CMP_000152,64,0.3042,0.0203,0,0,131,0.5,4,0.231,1,1
CMP_000153,7,0.099,0.0198,0,0,196,0.79,0,0.106,1,0
CMP_000154,31,0.2084,0.0045,0,0,193,0.87,0,0.501,0,0
CMP_000155,3,0.0712,0.0007,0,0,11,0.84,0,0.25,0,0
CMP_000156,1,0.0195,0.0748,0,1,19,0.92,0,0.276,0,0
CMP_000157,22,0.0951,0.0456,1,0,16,0.87,0,0.123,0,0
CMP_000158,0,0.1061,0.0692,0,0,24,0.85,0,0.183,0,0
CMP_000159,0,0.0857,0.025,0,0,13,0.9,0,0.158,0,0
CMP_000160,1,0.0575,0.0296,0,0,132,0.89,0,0.149,0,0
CMP_000161,2,0.0109,0.0293,0,0,96,0.89,0,0.609,0,0
CMP_000162,39,0.0531,0.0101,0,1,1,0.82,0,0.691,1,0
CMP_000163,22,0.0478,0.0296,0,0,33,0.87,0,0.117,0,0
CMP_000164,12,0.0397,0.0306,0,0,36,0.99,0,0.31,0,0
CMP_000165,1,0.0958,0.0397,0,1,13,0.87,0,0.397,0,0
CMP_000166,3,0.0265,0.0325,0,0,3,0.94,0,0.284,0,0
CMP_000167,7,0.1402,0.0809,0,0,4,0.88,0,0.258,0,0
CMP_000168,0,0.0354,0.0226,0,0,48,0.99,0,0.255,0,0
CMP_000169,24,0.0805,0.0651,0,1,22,0.86,0,0.466,0,0
CMP_000170,0,0.0702,0.049,0,0,36,0.9,1,0.429,0,0
CMP_000171,0,0.0459,0.0409,0,0,16,0.91,0,0.122,0,0
CMP_000172,2,0.0131,0.0625,0,0,49,0.94,0,0.067,0,0
CMP_000173,129,0.04,0.0299,0,0,4,0.65,0,0.332,0,0
CMP_000174,1,0.0476,0.0243,0,0,0,0.86,0,0.382,0,0
CMP_000175,3,0.1458,0.0292,0,0,33,0.77,0,0.209,0,0
CMP_000176,2,0.305,0.0635,0,0,33,0.64,0,0.44,0,0
CMP_000177,0,0.0094,0.0413,0,0,0,0.93,0,0.187,0,0
CMP_000178,2,0.0743,0.0393,0,0,105,0.94,0,0.147,0,0
CMP_000179,0,0.3514,0.0435,0,2,52,0.69,2,0.489,1,0
CMP_000180,0,0.007,0.0429,0,0,103,0.91,1,0.233,0,0
CMP_000181,0,0.2179,0.0531,0,0,37,0.73,0,0.209,1,1
CMP_000182,0,0.043,0.1184,0,0,48,1.0,0,0.204,1,0
CMP_000183,0,0.1332,0.0857,0,0,1,0.78,0,0.457,0,0
CMP_000184,46,0.0603,0.0336,0,0,96,0.81,0,0.311,0,0
CMP_000185,0,0.1174,0.0134,0,1,3,0.9,0,0.4,0,0
CMP_000186,38,0.0073,0.0854,0,0,13,0.84,0,0.28,1,0
CMP_000187,3,0.0905,0.0443,0,0,25,0.91,0,0.089,0,0
CMP_000188,3,0.0605,0.0679,1,0,14,0.78,0,0.113,0,0
CMP_000189,10,0.104,0.0102,0,0,3,0.89,0,0.353,0,0
CMP_000190,3,0.0967,0.0553,0,0,47,0.91,0,0.277,1,0
CMP_000191,0,0.0532,0.0516,0,0,26,0.9,0,0.442,0,0
CMP_000192,0,0.1411,0.0815,0,0,66,0.81,0,0.6,0,0
CMP_000193,11,0.3889,0.0645,1,3,19,0.61,0,0.454,0,0
CMP_000194,6,0.0736,0.0871,0,0,33,0.97,0,0.174,0,0
CMP_000195,94,0.1442,0.0431,0,2,38,0.58,0,0.19,1,1
CMP_000196,0,0.1178,0.057,0,0,30,0.83,0,0.113,0,0
CMP_000197,0,0.0834,0.0623,0,0,124,0.91,0,0.349,0,0
CMP_000198,0,0.1172,0.1292,0,1,21,0.9,0,0.46,0,0
