Company_ID,Sector,Industry_Growth_Rate,Sector_Volatility_Beta,Regulatory_Pressure,Commodity_Exposure_Index,Supply_Chain_Risk_Score,Sector_News_Sentiment,Regulatory_Action_Flag,Default_Flag
CMP_000000,Steel_Primary,0.0738,1.33,Low,0.78,53.2,0.23,0,0
CMP_000001,Chemical,0.0818,0.54,Medium,0.84,60.6,-0.2,0,0
CMP_000002,Real_Estate_Commercial,0.0467,1.33,Medium,0.25,53.3,-0.04,0,0
CMP_000003,NBFC,0.0912,0.75,High,0.25,15.1,-0.5,0,0
CMP_000004,Manufacturing_General,0.0581,0.98,Medium,0.61,43.6,-0.26,0,0
CMP_000005,Manufacturing_General,0.0564,0.66,Medium,0.44,34.3,-0.12,0,0
CMP_000006,Manufacturing_General,0.0427,1.1,Medium,0.58,33.7,-0.58,0,0
CMP_000007,FMCG_Distribution,0.0408,0.64,Low,0.56,50.6,0.02,0,1
CMP_000008,NBFC,0.1435,1.46,High,0.0,9.7,-0.82,1,0
CMP_000009,Real_Estate_Residential,0.0343,1.37,High,0.62,56.0,-0.55,1,0
CMP_000010,Manufacturing_General,0.0231,1.58,Medium,0.51,34.9,0.56,0,0
CMP_000011,Agri_Food,0.0041,1.39,Low,0.89,91.3,-0.9,0,0
CMP_000012,Hospitals_Healthcare,0.1375,0.66,Low,0.3,21.0,0.86,0,0
CMP_000013,Textiles_Cotton,0.0815,1.52,Medium,0.87,89.0,-0.68,0,0
CMP_000014,Textiles_Cotton,0.052,1.54,Medium,0.76,67.8,-0.5,0,0
CMP_000015,Textiles_Cotton,-0.002,1.54,Medium,0.76,67.1,-0.45,0,0
CMP_000016,Steel_Secondary,0.0363,1.33,Medium,0.9,54.8,-0.35,0,0
CMP_000017,Pharma,0.0833,0.77,Medium,0.5,55.2,-0.68,1,0
CMP_000018,Cement,0.0459,1.25,Low,0.7,36.5,-0.11,0,0
CMP_000019,Steel_Secondary,-0.0291,1.2,Medium,0.96,85.9,-0.53,0,0
CMP_000020,NBFC,0.1219,0.9,High,0.22,17.8,-0.73,0,0
CMP_000021,Manufacturing_General,0.0493,1.33,Medium,0.38,47.4,0.12,0,0
CMP_000022,Steel_Secondary,0.0351,0.98,Medium,0.97,84.0,-1.0,1,0
CMP_000023,Steel_Primary,0.0523,1.21,Low,0.82,55.4,-0.25,0,0
CMP_000024,IT_Services,0.0364,0.96,Low,0.06,47.5,-0.69,0,0
CMP_000025,Infrastructure_Roads,0.0651,0.67,Low,0.47,25.7,0.3,0,0
CMP_000026,Textiles_Cotton,0.0376,1.78,Medium,0.79,66.6,-0.52,1,0
CMP_000027,IT_Services,0.0671,1.0,Low,0.0,49.3,-0.29,0,0
CMP_000028,NBFC,0.0831,1.46,High,0.21,29.7,-0.51,0,0
CMP_000029,Manufacturing_General,0.0831,1.22,Medium,0.55,42.9,0.03,0,0
CMP_000030,NBFC,0.1293,1.42,High,0.16,36.2,-0.78,1,0
CMP_000031,Manufacturing_General,0.0461,1.33,Medium,0.45,54.2,0.08,0,0
CMP_000032,Manufacturing_General,0.0561,1.22,Medium,0.47,38.5,0.04,0,0
CMP_000033,Chemical,0.0295,1.68,Medium,0.7,77.7,-0.5,0,0
CMP_000034,Agri_Food,0.0808,1.22,Low,0.88,65.9,-0.05,0,0
CMP_000035,Hospitals_Healthcare,0.0842,0.73,Low,0.39,29.4,0.79,0,0
CMP_000036,Steel_Secondary,0.0089,0.85,Medium,0.82,62.2,-0.58,0,0
CMP_000037,Manufacturing_General,0.0437,0.84,Medium,0.45,52.8,-0.17,0,1
CMP_000038,Real_Estate_Residential,0.0364,1.97,High,0.56,70.6,-0.18,0,0
CMP_000039,IT_Services,-0.0024,0.92,Low,0.16,55.7,-0.62,0,1
CMP_000040,Manufacturing_General,0.0504,1.09,Medium,0.53,56.4,-0.21,0,0
CMP_000041,IT_Services,0.0743,1.08,Low,0.0,36.3,-0.27,0,0
CMP_000042,Manufacturing_General,0.0459,1.03,Medium,0.72,60.8,0.26,1,0
CMP_000043,FMCG_Distribution,0.0472,1.14,Low,0.7,58.7,-0.37,0,0
CMP_000044,Textiles_Cotton,0.0227,0.68,Medium,0.89,81.3,-0.63,0,0
CMP_000045,Real_Estate_Residential,0.0227,2.05,High,0.47,73.0,-0.25,1,0
CMP_000046,Steel_Secondary,0.0425,1.63,Medium,0.98,71.3,-0.56,0,0
CMP_000047,Pharma,0.0708,0.74,Medium,0.53,54.7,0.21,0,0
CMP_000048,Pharma,0.0617,1.05,Medium,0.5,54.1,-0.09,1,0
CMP_000049,Textiles_Cotton,-0.0011,1.01,Medium,0.74,73.0,-0.76,0,0
CMP_000050,Agri_Food,0.0386,1.38,Low,0.75,62.3,-0.21,0,0
CMP_000051,Infrastructure_Roads,0.0398,0.58,Low,0.45,49.6,-0.06,0,0
CMP_000052,Chemical,0.0228,1.15,Medium,0.81,81.3,-0.55,0,0
CMP_000053,FMCG_Distribution,0.0559,0.94,Low,0.69,58.8,-0.22,0,0
CMP_000054,NBFC,0.059,1.42,High,0.07,29.7,-1.0,1,0
CMP_000055,Chemical,0.046,1.53,Medium,0.55,80.0,-0.39,0,0
CMP_000056,Manufacturing_General,0.0403,1.15,Medium,0.45,29.0,-0.12,0,0
CMP_000057,Textiles_Cotton,-0.0001,1.26,Medium,0.86,60.2,-0.48,0,0
CMP_000058,Manufacturing_General,0.0413,1.14,Medium,0.24,40.7,-0.1,0,0
CMP_000059,Steel_Secondary,0.0363,1.74,Medium,0.99,81.4,-0.96,0,0
CMP_000060,Steel_Primary,0.0055,1.3,Low,0.87,44.5,-0.24,0,0
CMP_000061,Textiles_Cotton,-0.0015,1.51,Medium,0.66,81.4,-0.5,0,1
CMP_000062,Hospitals_Healthcare,0.1114,0.67,Low,0.21,33.3,0.52,0,0
CMP_000063,Steel_Primary,0.0579,1.37,Low,0.68,49.6,0.1,0,0
CMP_000064,Steel_Secondary,0.0547,1.71,Medium,0.84,71.0,-0.91,0,0
CMP_000065,Pharma,0.0979,0.7,Medium,0.52,38.5,0.08,0,0
CMP_000066,Manufacturing_General,0.0174,0.72,Medium,0.44,52.1,-0.33,0,0
CMP_000067,Hospitals_Healthcare,0.0888,0.77,Low,0.25,27.3,0.37,0,0
CMP_000068,Manufacturing_General,0.0538,0.63,Medium,0.47,68.5,-0.2,0,1
CMP_000069,Agri_Food,0.0516,1.29,Low,1.0,64.1,-0.48,0,0
CMP_000070,Infrastructure_Roads,0.1068,1.11,Low,0.64,25.9,0.3,1,0
CMP_000071,Textiles_Cotton,0.0063,1.55,Medium,0.98,79.8,-0.39,0,0
CMP_000072,Manufacturing_General,0.0081,1.55,Medium,0.49,28.2,-0.26,0,0
CMP_000073,Hospitals_Healthcare,0.1074,0.56,Low,0.2,22.9,0.4,0,0
CMP_000074,Real_Estate_Residential,0.0437,0.92,High,0.45,81.0,-0.58,1,0
CMP_000075,Real_Estate_Commercial,0.107,1.24,Medium,0.4,31.7,0.37,0,0
CMP_000076,Infrastructure_Roads,0.0921,0.97,Low,0.3,30.5,0.32,0,0
CMP_000077,Manufacturing_General,0.0346,1.06,Medium,0.39,36.1,-0.04,0,0
CMP_000078,Steel_Primary,0.0545,1.86,Low,0.74,63.7,-0.01,0,0
CMP_000079,Manufacturing_General,0.0791,1.82,Medium,0.51,38.9,0.09,0,0
CMP_000080,FMCG_Distribution,0.0859,0.3,Low,0.66,48.1,0.15,0,0
CMP_000081,NBFC,0.1228,1.68,High,0.2,15.9,-0.77,1,0
CMP_000082,Steel_Secondary,-0.0151,2.04,Medium,0.99,89.7,-0.37,0,0
CMP_000083,Manufacturing_General,0.0794,1.52,Medium,0.38,46.1,-0.28,0,0
CMP_000084,Steel_Secondary,-0.0002,1.16,Medium,0.83,71.0,-0.82,1,0
CMP_000085,Steel_Secondary,0.0175,1.18,Medium,1.0,67.4,-0.46,0,0
CMP_000086,Real_Estate_Commercial,0.0916,1.01,Medium,0.37,36.8,0.05,0,0
CMP_000087,NBFC,0.1497,1.64,High,0.24,15.7,-0.45,1,0
CMP_000088,FMCG_Distribution,0.0422,0.77,Low,0.58,64.4,0.12,0,0
CMP_000089,IT_Services,0.0331,1.34,Low,0.01,43.4,0.09,0,0
CMP_000090,Manufacturing_General,0.0496,1.27,Medium,0.25,35.2,0.31,0,0
CMP_000091,Real_Estate_Residential,0.0362,1.81,High,0.69,62.4,-0.31,0,0
CMP_000092,Infrastructure_Roads,0.0514,0.76,Low,0.42,33.8,0.32,0,1
CMP_000093,Pharma,0.0467,0.95,Medium,0.46,47.9,0.26,1,0
CMP_000094,Infrastructure_Roads,0.0704,0.77,Low,0.24,9.5,0.29,0,0
CMP_000095,IT_Services,0.0051,1.02,Low,0.11,30.2,-0.72,0,0
CMP_000096,Pharma,0.0366,0.74,Medium,0.46,55.3,-0.4,0,0
CMP_000097,Cement,0.0663,1.24,Low,0.64,51.8,0.07,0,0
CMP_000098,Manufacturing_General,0.0447,1.44,Medium,0.46,51.3,-0.32,0,0
CMP_000099,Manufacturing_General,0.0424,0.93,Medium,0.23,30.2,-0.49,0,0
CMP_000100,Manufacturing_General,0.0177,0.95,Medium,0.46,43.9,0.17,1,0
CMP_000101,NBFC,0.0913,1.52,High,0.0,23.4,-0.69,1,0
CMP_000102,Steel_Secondary,0.0054,1.97,Medium,0.98,54.6,-0.68,1,0
CMP_000103,IT_Services,0.0043,0.71,Low,0.03,24.2,-0.67,0,0
CMP_000104,FMCG_Distribution,0.0666,0.96,Low,0.53,42.4,0.15,0,0
CMP_000105,Textiles_Cotton,0.005,1.22,Medium,0.93,65.7,-0.79,1,0
CMP_000106,Cement,0.0631,1.51,Low,0.54,56.6,0.64,0,0
CMP_000107,Real_Estate_Commercial,0.0641,0.88,Medium,0.45,34.7,0.17,0,0
CMP_000108,Textiles_Cotton,-0.0035,1.72,Medium,0.94,80.5,-0.61,0,0
CMP_000109,Manufacturing_General,0.0313,1.35,Medium,0.43,55.4,-0.6,0,0
CMP_000110,Steel_Secondary,0.0034,2.44,Medium,0.93,73.6,-0.69,1,0
CMP_000111,Manufacturing_General,0.0311,0.88,Medium,0.37,34.8,-0.06,0,0
CMP_000112,Chemical,0.0382,1.46,Medium,0.87,72.4,-0.19,0,0
CMP_000113,Hospitals_Healthcare,0.1231,0.72,Low,0.41,39.1,0.53,0,0
CMP_000114,NBFC,0.088,1.35,High,0.1,19.5,-0.85,1,0
CMP_000115,FMCG_Distribution,-0.0023,0.83,Low,0.57,61.4,0.04,0,0
CMP_000116,Hospitals_Healthcare,0.1322,1.1,Low,0.38,20.5,0.4,0,0
CMP_000117,Textiles_Cotton,0.0208,1.25,Medium,0.65,82.7,-0.47,0,0
CMP_000118,FMCG_Distribution,0.0511,0.45,Low,0.58,51.5,0.05,0,0
CMP_000119,Pharma,0.0445,0.81,Medium,0.43,36.4,0.2,0,0
CMP_000120,Hospitals_Healthcare,0.1617,0.58,Low,0.24,25.6,0.41,0,0
CMP_000121,FMCG_Distribution,0.0378,0.57,Low,0.72,71.2,0.0,0,0
CMP_000122,Steel_Secondary,0.0241,0.96,Medium,0.9,49.2,-0.64,0,0
CMP_000123,Manufacturing_General,0.024,1.42,Medium,0.46,26.8,0.55,1,0
CMP_000124,Textiles_Cotton,0.0366,1.36,Medium,0.59,81.7,-0.81,0,0
CMP_000125,Cement,0.0275,0.93,Low,0.69,33.7,0.21,0,0
CMP_000126,Hospitals_Healthcare,0.1627,0.57,Low,0.27,42.1,0.55,0,0
CMP_000127,FMCG_Distribution,0.0849,1.36,Low,0.58,50.6,0.4,0,0
CMP_000128,Manufacturing_General,0.0424,1.32,Medium,0.55,46.1,-0.06,0,0
CMP_000129,IT_Services,0.0392,0.93,Low,0.0,24.6,-0.53,0,0
CMP_000130,Cement,0.0444,1.01,Low,0.63,44.0,0.2,1,0
CMP_000131,Textiles_Cotton,0.0402,1.94,Medium,0.82,57.2,-0.32,0,0
CMP_000132,Manufacturing_General,0.0374,1.3,Medium,0.53,39.1,0.23,1,0
CMP_000133,Steel_Secondary,-0.0004,1.11,Medium,0.81,53.9,-0.38,0,0
CMP_000134,Chemical,-0.0022,1.01,Medium,0.7,100.0,-0.32,1,0
CMP_000135,Steel_Secondary,0.0284,1.89,Medium,1.0,62.7,-0.79,0,0
CMP_000136,IT_Services,0.0492,1.23,Low,0.0,30.5,-0.2,0,0
CMP_000137,Real_Estate_Residential,0.0411,1.87,High,0.66,37.5,-0.33,0,0
