Company_ID,Litigation_Count,NCLT_Active_Flag,Fraud_Keywords_Count,Negative_News_Sentiment,Promoter_Disputes_Flag,Governance_Issues_Flag,Related_Party_Anomaly_Flag,DIN_Disqualification_Flag,Auditor_Qualified_Opinion_Flag,SARFAESI_Action_Flag,Default_Flag
CMP_000000,0,0,0,-0.6,0,0,0,0,0,0,0
CMP_000001,0,0,0,-0.23,0,0,0,0,0,0,0
CMP_000002,2,0,0,-1.0,0,0,0,0,0,0,0
CMP_000003,0,0,0,-0.48,0,0,0,0,0,0,0
CMP_000004,2,0,0,-0.65,0,1,1,0,1,0,0
CMP_000005,0,0,0,-0.39,0,0,0,0,0,0,0
CMP_000006,0,0,0,-0.55,0,0,0,0,0,0,0
CMP_000007,2,0,0,-0.47,0,0,0,0,0,0,1
CMP_000008,0,0,0,-0.19,0,0,0,0,0,0,0
CMP_000009,0,0,0,-0.35,0,0,0,0,0,0,0
CMP_000010,0,0,0,-0.25,0,0,0,0,0,0,0
CMP_000011,0,0,0,-0.56,0,0,0,0,0,0,0
CMP_000012,0,0,0,-0.49,0,0,0,0,0,0,0
CMP_000013,0,0,0,-0.77,0,0,0,0,0,0,0
CMP_000014,0,0,0,-0.3,0,0,0,0,0,0,0
CMP_000015,0,0,0,-0.34,0,0,0,0,0,0,0
CMP_000016,0,0,0,-0.18,0,0,0,0,0,0,0
CMP_000017,0,0,0,-0.06,0,0,1,0,0,0,0
CMP_000018,0,0,0,-0.43,0,0,0,0,0,0,0
CMP_000019,1,0,0,-0.52,0,0,0,0,0,1,0
CMP_000020,1,0,0,-0.66,0,0,0,0,0,0,0
CMP_000021,0,0,0,-0.32,0,1,0,0,0,0,0
CMP_000022,0,0,0,-0.38,0,0,1,0,0,0,0
CMP_000023,3,0,0,-0.92,1,0,0,0,1,0,0
CMP_000024,1,0,0,-0.32,0,0,0,0,0,0,0
CMP_000025,0,0,0,-0.22,0,0,0,0,0,0,0
CMP_000026,0,0,0,-0.23,0,0,0,0,0,0,0
CMP_000027,0,0,0,-0.36,0,0,0,0,0,0,0
CMP_000028,2,0,0,-0.66,0,0,0,0,0,0,0
CMP_000029,0,0,0,0.17,0,0,0,0,0,0,0
CMP_000030,0,0,0,-0.37,0,0,0,0,0,0,0
CMP_000031,0,0,0,-0.11,0,0,0,0,0,0,0
CMP_000032,0,0,0,-0.41,0,0,0,0,0,0,0
CMP_000033,0,0,0,-0.4,0,1,0,0,0,0,0
CMP_000034,0,0,0,0.1,0,0,0,0,0,0,0
CMP_000035,0,0,0,-0.55,0,0,0,0,0,0,0
CMP_000036,2,0,0,-0.29,0,0,0,0,0,0,0
CMP_000037,1,1,0,-0.5,0,1,0,0,1,1,1
CMP_000038,1,0,0,-0.55,1,0,0,0,0,0,0
CMP_000039,2,0,3,-0.8,0,0,0,0,0,0,1
CMP_000040,0,0,0,-0.39,0,0,0,0,0,0,0
CMP_000041,2,0,0,-0.26,0,0,0,0,0,0,0
CMP_000042,0,0,0,0.13,0,0,0,0,0,0,0
CMP_000043,1,0,0,-0.29,0,0,0,0,0,0,0
CMP_000044,1,0,0,-0.6,0,0,0,0,0,0,0
CMP_000045,0,0,0,-0.35,0,0,0,0,0,0,0
CMP_000046,0,0,0,-0.61,0,0,0,0,1,0,0
CMP_000047,0,0,0,-0.06,0,0,0,0,0,0,0
CMP_000048,1,0,0,-0.5,0,0,0,0,0,0,0
CMP_000049,0,0,0,-0.12,0,0,0,0,0,0,0
CMP_000050,1,0,0,-0.42,0,0,0,0,0,0,0
CMP_000051,0,0,0,-0.6,0,0,0,0,0,1,0
CMP_000052,2,0,0,-0.43,0,0,0,0,0,0,0
CMP_000053,0,0,0,-0.01,0,0,0,0,0,0,0
CMP_000054,0,0,0,-0.51,0,0,0,0,0,0,0
CMP_000055,1,0,0,-0.52,0,0,0,0,0,0,0
CMP_000056,0,0,0,-0.3,0,0,0,0,0,0,0
CMP_000057,0,0,0,-0.41,0,0,0,0,0,0,0
CMP_000058,0,0,0,-0.24,0,0,0,0,0,0,0
CMP_000059,0,0,0,-0.19,0,0,0,0,0,0,0
CMP_000060,1,0,0,-0.34,0,0,0,0,0,0,0
CMP_000061,2,0,0,-1.0,0,0,0,0,0,1,1
CMP_000062,0,0,0,-0.15,0,0,0,0,0,0,0
CMP_000063,1,0,0,-0.3,0,0,0,0,0,0,0
CMP_000064,0,0,0,-0.43,0,0,0,0,0,0,0
CMP_000065,0,0,0,-0.13,0,0,0,0,0,0,0
CMP_000066,1,0,0,-0.79,0,0,0,0,0,0,0
CMP_000067,0,0,0,-0.34,0,0,0,0,0,0,0
CMP_000068,1,0,2,-1.0,1,0,1,1,1,1,1
CMP_000069,0,0,0,-0.2,0,0,0,0,1,0,0
CMP_000070,0,0,0,-0.13,0,0,0,0,0,0,0
CMP_000071,1,0,0,-0.47,0,0,1,0,0,0,0
CMP_000072,0,0,0,-0.28,0,0,0,0,0,0,0
CMP_000073,0,0,0,-0.04,0,0,1,0,0,0,0
CMP_000074,0,0,0,-0.47,0,0,0,0,0,0,0
CMP_000075,1,0,0,-0.32,0,0,0,0,0,0,0
CMP_000076,0,0,0,-0.56,0,0,0,0,0,0,0
CMP_000077,0,0,0,-0.28,0,1,0,0,0,0,0
CMP_000078,1,0,0,-0.34,0,0,0,0,0,0,0
CMP_000079,0,0,0,-0.59,0,1,0,0,0,0,0
CMP_000080,0,0,0,-0.02,0,0,0,0,0,0,0
CMP_000081,0,0,0,-0.28,0,0,0,0,0,0,0
CMP_000082,1,0,0,-0.73,0,0,0,0,0,0,0
CMP_000083,0,0,0,-0.44,0,0,0,0,0,0,0
CMP_000084,0,0,0,-0.67,0,0,0,0,0,0,0
CMP_000085,0,0,0,-0.66,0,0,0,0,0,0,0
CMP_000086,1,0,0,-0.51,0,1,0,0,0,0,0
CMP_000087,0,0,0,-0.18,0,0,0,0,0,0,0
CMP_000088,0,0,0,-0.24,0,0,0,0,0,0,0
CMP_000089,0,0,0,-0.48,0,0,0,0,0,0,0
CMP_000090,0,0,0,-0.5,0,0,0,0,0,0,0
CMP_000091,0,0,0,0.01,0,0,0,0,0,0,0
CMP_000092,2,1,0,-0.62,0,1,0,0,0,1,1
CMP_000093,0,0,0,-0.37,0,0,0,0,0,0,0
CMP_000094,0,0,0,-0.02,0,0,0,0,0,0,0
CMP_000095,0,0,0,-0.17,0,0,0,0,0,0,0
CMP_000096,0,0,0,-0.56,0,1,0,0,0,0,0
CMP_000097,0,0,0,-0.37,0,0,0,0,0,0,0
CMP_000098,0,0,0,-0.84,0,0,0,0,0,0,0
CMP_000099,0,0,0,-0.28,0,0,0,0,0,0,0
CMP_000100,0,0,0,-0.54,0,0,0,0,0,0,0
CMP_000101,0,0,0,-0.6,0,0,0,0,0,0,0
CMP_000102,0,0,0,-0.43,0,1,0,0,0,0,0
CMP_000103,0,0,0,-0.11,0,0,0,0,0,0,0
CMP_000104,0,0,0,-0.39,0,0,0,0,0,0,0
CMP_000105,0,0,0,-0.06,0,0,0,0,0,0,0
CMP_000106,0,0,0,-0.11,0,0,1,0,0,0,0
CMP_000107,0,0,0,-0.48,0,0,0,0,0,0,0
CMP_000108,0,0,0,-0.54,0,0,0,0,0,0,0
CMP_000109,2,0,0,-0.63,0,0,0,0,0,0,0
CMP_000110,0,0,0,-0.25,0,0,0,0,0,0,0
CMP_000111,0,0,0,-0.7,0,0,0,0,0,0,0
CMP_000112,0,0,0,-0.51,0,0,0,0,0,0,0
CMP_000113,0,0,0,-0.52,0,1,0,0,0,0,0
CMP_000114,0,0,0,-0.44,0,0,0,0,0,0,0
CMP_000115,0,0,0,-0.77,0,0,0,0,0,0,0
CMP_000116,0,0,0,-0.4,0,1,0,0,0,0,0
CMP_000117,0,0,0,-0.12,0,0,0,0,0,0,0
CMP_000118,0,0,0,-0.67,0,0,1,0,0,0,0
CMP_000119,0,0,0,-0.54,0,0,0,0,0,0,0
CMP_000120,0,0,0,-0.08,0,0,0,0,0,0,0
CMP_000121,2,1,0,-0.53,1,1,0,0,0,0,0
CMP_000122,0,0,0,-0.22,0,0,0,0,0,0,0
