Company_ID,Sector,Revenue_Crore,Credit_Rating,Latent_Distress_Score,Default_Flag,Default_Probability
CMP_000000,Steel_Primary,32.41,BBB,0.2107,0,0.0007
CMP_000001,Chemical,50.4,BBB,0.2325,0,0.0009
CMP_000002,Real_Estate_Commercial,178.42,B,0.6772,0,0.158
CMP_000003,NBFC,82.02,BBB,0.2296,0,0.0009
CMP_000004,Manufacturing_General,14.84,B,0.7279,0,0.2563
CMP_000005,Manufacturing_General,13.26,AA,0.0972,0,0.0002
CMP_000006,Manufacturing_General,51.86,BB,0.486,0,0.0186
CMP_000007,FMCG_Distribution,20.69,B,0.6305,1,0.0968
CMP_000008,NBFC,91.73,A,0.2186,0,0.0008
CMP_000009,Real_Estate_Residential,56.48,BBB,0.347,0,0.0036
CMP_000010,Manufacturing_General,62.32,A,0.1968,0,0.0006
CMP_000011,Agri_Food,31.02,BB,0.5195,0,0.0275
CMP_000012,Hospitals_Healthcare,219.89,BBB,0.2873,0,0.0017
CMP_000013,Textiles_Cotton,500.0,BB,0.518,0,0.027
CMP_000014,Textiles_Cotton,43.69,A,0.1631,0,0.0004
CMP_000015,Textiles_Cotton,72.42,A,0.1801,0,0.0005
CMP_000016,Steel_Secondary,59.02,AA,0.089,0,0.0002
CMP_000017,Pharma,44.36,BBB,0.2726,0,0.0015
CMP_000018,Cement,28.06,BBB,0.2587,0,0.0012
CMP_000019,Steel_Secondary,22.92,B,0.6827,0,0.167
CMP_000020,NBFC,22.01,BB,0.5717,0,0.0503
CMP_000021,Manufacturing_General,75.5,BBB,0.3703,0,0.0047
CMP_000022,Steel_Secondary,36.03,NR,0.2992,0,0.002
CMP_000023,Steel_Primary,10.0,BB,0.5702,0,0.0494
CMP_000024,IT_Services,77.94,NR,0.4118,0,0.0077
CMP_000025,Infrastructure_Roads,52.95,BBB,0.336,0,0.0031
CMP_000026,Textiles_Cotton,160.35,A,0.1347,0,0.0003
CMP_000027,IT_Services,73.59,AA,0.1057,0,0.0002
CMP_000028,NBFC,16.73,BB,0.502,0,0.0224
CMP_000029,Manufacturing_General,10.0,A,0.1058,0,0.0002
CMP_000030,NBFC,30.7,BBB,0.3365,0,0.0031
CMP_000031,Manufacturing_General,33.11,BBB,0.3808,0,0.0053
CMP_000032,Manufacturing_General,116.11,BBB,0.2895,0,0.0018
CMP_000033,Chemical,54.21,BBB,0.3816,0,0.0054
CMP_000034,Agri_Food,135.23,A,0.1705,0,0.0004
CMP_000035,Hospitals_Healthcare,18.92,BBB,0.351,0,0.0037
CMP_000036,Steel_Secondary,118.18,BB,0.3247,0,0.0027
CMP_000037,Manufacturing_General,97.2,NR,0.7403,1,0.2856
CMP_000038,Real_Estate_Residential,10.86,BB,0.5847,0,0.0582
CMP_000039,IT_Services,157.29,D,0.9315,1,0.7986
CMP_000040,Manufacturing_General,58.84,BB,0.342,0,0.0033
CMP_000041,IT_Services,74.71,BBB,0.3173,0,0.0025
CMP_000042,Manufacturing_General,27.33,A,0.1078,0,0.0002
CMP_000043,FMCG_Distribution,151.44,BB,0.5111,0,0.0249
CMP_000044,Textiles_Cotton,21.14,BB,0.5088,0,0.0243
CMP_000045,Real_Estate_Residential,106.24,BBB,0.2435,0,0.001
CMP_000046,Steel_Secondary,105.27,BBB,0.3673,0,0.0045
CMP_000047,Pharma,25.04,BBB,0.3483,0,0.0036
CMP_000048,Pharma,266.85,BBB,0.3585,0,0.0041
CMP_000049,Textiles_Cotton,65.71,BBB,0.3005,0,0.002
CMP_000050,Agri_Food,92.12,A,0.1092,0,0.0002
CMP_000051,Infrastructure_Roads,16.09,B,0.7185,0,0.2353
CMP_000052,Chemical,297.13,A,0.1665,0,0.0004
CMP_000053,FMCG_Distribution,20.5,AA,0.0444,0,0.0001
CMP_000054,NBFC,123.95,BBB,0.3811,0,0.0053
CMP_000055,Chemical,24.64,BB,0.627,0,0.0931
CMP_000056,Manufacturing_General,33.28,BBB,0.2975,0,0.002
CMP_000057,Textiles_Cotton,102.62,A,0.288,0,0.0018
CMP_000058,Manufacturing_General,124.22,BBB,0.3055,0,0.0022
CMP_000059,Steel_Secondary,19.75,BBB,0.2772,0,0.0015
CMP_000060,Steel_Primary,130.63,NR,0.3743,0,0.0049
CMP_000061,Textiles_Cotton,125.96,D,0.9891,1,0.8879
CMP_000062,Hospitals_Healthcare,25.78,BBB,0.2532,0,0.0012
CMP_000063,Steel_Primary,196.16,BBB,0.3441,0,0.0034
CMP_000064,Steel_Secondary,17.02,BB,0.4409,0,0.0109
CMP_000065,Pharma,33.12,AA,0.0816,0,0.0001
CMP_000066,Manufacturing_General,80.09,BBB,0.3618,0,0.0042
CMP_000067,Hospitals_Healthcare,27.58,BBB,0.2772,0,0.0015
CMP_000068,Manufacturing_General,67.43,D,0.9279,1,0.7915
CMP_000069,Agri_Food,66.21,AAA,0.084,0,0.0002
CMP_000070,Infrastructure_Roads,47.01,BBB,0.3958,0,0.0064
CMP_000071,Textiles_Cotton,106.26,BB,0.5251,0,0.0294
CMP_000072,Manufacturing_General,45.48,BBB,0.2607,0,0.0013
