MSME_Tier,Industry_Sector,Sector_Beta,DSCR,Current_Ratio,EBITDA_Margin,GST_Delay_Days,GST_Mismatch_Pct,Fraud_Keyword_Count,Default_Flag
Micro,IT_Services,0.8,1.6,1.38,0.1315,5,0.0786,0,0
Micro,Auto_Ancillary,1.5,1.34,1.22,0.1154,1,0.04,0,0
Micro,IT_Services,0.8,1.66,1.42,0.1653,2,0.0302,0,0
Medium,Auto_Ancillary,1.5,2.01,1.7,0.2006,0,0.0575,0,0
Micro,Logistics,1.3,1.31,1.19,0.1414,2,0.0457,0,0
Micro,Retail_Trading,1.0,1.31,1.19,0.1533,3,0.0408,0,0
Micro,Auto_Ancillary,1.5,2.03,1.71,0.1373,1,0.0554,0,0
Micro,Auto_Ancillary,1.5,1.71,1.46,0.1369,0,0.0416,0,0
Micro,Logistics,1.3,1.21,1.14,0.167,8,0.0631,0,0
Small,Manufacturing,1.1,1.62,1.39,0.148,5,0.0444,0,0
Micro,Retail_Trading,1.0,1.21,1.14,0.1037,3,0.0476,0,0
Micro,Logistics,1.3,1.21,1.14,0.1137,7,0.0683,0,0
Micro,Auto_Ancillary,1.5,1.5,1.31,0.1619,1,0.0378,0,0
Micro,IT_Services,0.8,0.63,0.85,0.1307,3,0.0476,0,0
Micro,Manufacturing,1.1,0.71,0.89,0.0615,9,0.0484,0,0
Micro,Retail_Trading,1.0,1.18,1.12,0.1243,1,0.0577,0,0
Micro,Auto_Ancillary,1.5,0.99,1.02,0.1035,8,0.0517,0,0
Small,IT_Services,0.8,1.53,1.33,0.1226,1,0.0512,0,0
Micro,Logistics,1.3,1.04,1.04,0.1542,1,0.0411,0,0
Small,Retail_Trading,1.0,0.84,0.94,0.0887,0,0.0209,0,0
Micro,Auto_Ancillary,1.5,1.99,1.68,0.1223,1,0.0739,0,0
Micro,Retail_Trading,1.0,1.31,1.19,0.0865,5,0.0575,0,0
Micro,Manufacturing,1.1,1.43,1.27,0.1147,8,0.0399,0,0
Micro,IT_Services,0.8,0.83,0.94,0.0702,2,0.0804,0,0
